"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6117","Login Functionality","tests.regression_ui","Wed Feb 19 15:09:37 UTC 2025","passed","Wed Feb 19 15:09:43 UTC 2025","TestUIRegression","test_ui_regression","",""
"","19541","Log out from Trello account","tests.regression_ui","Wed Feb 19 15:13:47 UTC 2025","passed","Wed Feb 19 15:14:06 UTC 2025","TestUIRegression","test_ui_regression","",""
"","29586","Drag and drop card from one list to another","tests.regression_ui","Wed Feb 19 15:11:12 UTC 2025","passed","Wed Feb 19 15:11:42 UTC 2025","TestUIRegression","test_ui_regression","",""
"","31405","Archive a card","tests.regression_ui","Wed Feb 19 15:11:42 UTC 2025","passed","Wed Feb 19 15:12:14 UTC 2025","TestUIRegression","test_ui_regression","",""
"","38561","Board Deletion","tests.regression_ui","Wed Feb 19 15:13:08 UTC 2025","passed","Wed Feb 19 15:13:46 UTC 2025","TestUIRegression","test_ui_regression","",""
"","19176","Search functionality","tests.regression_ui","Wed Feb 19 15:12:48 UTC 2025","passed","Wed Feb 19 15:13:07 UTC 2025","TestUIRegression","test_ui_regression","",""
"","27115","Card Creation","tests.regression_ui","Wed Feb 19 15:10:45 UTC 2025","passed","Wed Feb 19 15:11:12 UTC 2025","TestUIRegression","test_ui_regression","",""
"","33736","Label a Card","tests.regression_ui","Wed Feb 19 15:12:14 UTC 2025","passed","Wed Feb 19 15:12:48 UTC 2025","TestUIRegression","test_ui_regression","",""
"","26566","Board Creation","tests.regression_ui","Wed Feb 19 15:09:43 UTC 2025","passed","Wed Feb 19 15:10:10 UTC 2025","TestUIRegression","test_ui_regression","",""
"","33946","List Creation","tests.regression_ui","Wed Feb 19 15:10:10 UTC 2025","passed","Wed Feb 19 15:10:44 UTC 2025","TestUIRegression","test_ui_regression","",""
